#g,r,i,z
#row1 = min, row2 = max, row3 = avg
1.0,2.582336,2.891312,1.592608
1.0,3.86848,4.092048,3.3409600000000004
1.0,3.069290594594594,3.3761619459459458,2.466987675675676
1.0,3.14,3.5796,2.7129600000000003
1.0,3.117392,3.509264,2.559728
1.0,3.19024,3.411296,2.456736
1.0,3.270624,3.157584,1.592608
1.0,3.1123680000000005,3.5218239999999996,2.723008
1.0,2.911408,3.034496,2.306016
1.0,2.908896,3.117392,2.41152
1.0,3.104832,3.40376,2.6551839999999998
1.0,2.780784,2.936528,2.107568
1.0,3.3560320000000003,3.908672,3.0922720000000004
1.0,3.004352,3.273136,2.434128
1.0,3.531872,3.697664,2.8837759999999997
1.0,3.86848,3.2907200000000003,2.019648
1.0,3.31584,3.37864,2.2733600000000003
1.0,3.0118880000000003,3.345984,2.3989599999999998
1.0,3.049568,3.167632,2.152784
1.0,2.969184,3.15256,1.881488
1.0,3.564528,3.564528,2.489392
1.0,3.00184,3.40376,2.429104
1.0,3.00184,3.0470560000000004,2.170368
1.0,3.330912,3.798144,2.9616480000000003
1.0,2.66272,2.9516,2.0246720000000002
1.0,2.80088,3.175168,2.044768
1.0,3.0143999999999997,3.737856,2.906384
1.0,2.9189439999999998,3.2279199999999997,2.471808
1.0,3.210336,3.712736,3.0269600000000003
1.0,3.1977759999999997,3.5846240000000003,2.657696
1.0,3.024448,3.0621280000000004,2.383888
1.0,3.381152,3.840848,2.7832960000000004
1.0,2.826,3.10232,1.755888
1.0,3.348496,3.6197920000000003,2.308528
1.0,3.40376,3.672544,2.130176
1.0,2.8687039999999997,3.285696,2.542144
1.0,2.7933440000000003,3.10232,2.409008
1.0,2.7506399999999998,3.333424,2.534608
1.0,2.92648,3.08976,2.21056
1.0,2.921456,3.2932319999999997,2.509488
1.0,3.180192,3.438928,2.522048
1.0,2.7280320000000002,3.310816,2.607456
1.0,2.944064,3.393712,2.6376
1.0,2.80088,3.0721760000000002,2.225632
1.0,3.2429919999999997,3.47912,2.8084160000000002
1.0,3.132464,3.2279199999999997,2.02216
1.0,3.499216,3.873504,3.104832
1.0,2.815952,3.0721760000000002,2.36128
1.0,2.941552,2.891312,1.838784
1.0,3.049568,3.280672,2.527072
1.0,3.155072,3.722784,2.745616
1.0,2.582336,3.155072,2.378864
1.0,3.0118880000000003,3.1977759999999997,2.459248
1.0,3.074688,3.3208640000000003,2.6350879999999997
1.0,2.871216,3.433904,2.7632000000000003
1.0,2.818464,3.08976,2.3637919999999997
1.0,2.8486079999999996,3.054592,2.318576
1.0,3.14,3.4916799999999997,2.378864
1.0,3.004352,3.423856,2.743104
1.0,3.4364160000000004,4.092048,3.3409600000000004
1.0,2.9641599999999997,3.273136,1.828736
1.0,3.363568,3.6197920000000003,2.534608
1.0,3.0470560000000004,3.431392,2.740592
1.0,2.8687039999999997,3.037008,1.986992
1.0,3.1274400000000004,3.489168,2.426592
1.0,3.232944,3.509264,2.42408
1.0,3.1274400000000004,3.662496,2.941552
1.0,2.966672,3.220384,2.17288
1.0,3.268112,3.446464,2.190464
1.0,2.956624,3.288208,2.56224
1.0,2.981744,3.2404800000000002,2.2959680000000002
1.0,3.295744,3.803168,2.873728
1.0,2.986768,3.1827039999999998,2.451712
1.0,2.936528,3.2907200000000003,2.313552
1.0,2.9641599999999997,3.564528,2.8837759999999997
1.0,3.0621280000000004,3.7052,2.9616480000000003
1.0,3.1073440000000003,3.5569919999999997,2.773248
